FISHERIES_WATERBODY_ID,LAKE_NAME,ALT_LAKE_NAME,DOW_NBR_PRIMARY,DOW_SUB_BASIN_NBR_PRIMARY,FETCH_ORIENTATION_DEGREES,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_MN_ACRES,LAKE_AREA_PLANIMETERED_ACRES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,LARGE_LAKE_FLAG,LITTORAL_AREA_ACRES,MAX_DEPTH_FEET,MAX_FETCH_MILES,MEAN_DEPTH_FEET,PLS_SECTION_ID_LAKE_CENTER,SHORE_LENGTH_MILES,UTM_DATUM_ID,UTM_ZONE_ID,WATERSHED_MINOR_ID
"16,522",Unnamed,,600325.0,0.0,,118.0,121,121,,47.59785,-96.20739,"258,901","5,276,590",,,N,0.0,,,,"14,804,436",5.0,83.0,15.0,"61,023"
"16,523",Unnamed,,600333.0,0.0,,15.0,8,8,,47.58709,-95.61488,"303,356","5,273,618",,,N,0.0,,,,"14,703,903",1.0,83.0,15.0,"66,077"
"16,524",Unnamed,,600362.0,0.0,,16.0,4,4,,47.72023,-95.73148,"295,187","5,288,873",,,N,0.0,,,,"14,904,014",0.0,83.0,15.0,"66,070"
"16,525",Unnamed,,600369.0,0.0,,12.0,7,7,,47.58236,-95.95403,"277,879","5,274,112",,,N,0.0,,,,"14,704,201",1.0,83.0,15.0,"61,049"
"16,526",Unnamed,,600393.0,0.0,,17.0,12,12,,47.57603,-96.28638,"253,126","5,274,335",,,N,0.0,,,,"14,704,405",1.0,83.0,15.0,"61,024"
"16,527",Unnamed,,600430.0,0.0,,102.0,8,8,,47.72675,-95.94953,"278,641","5,290,285",,,N,0.0,,,,"14,904,118",1.0,83.0,15.0,"66,057"
"16,528",Unnamed,,600446.0,0.0,,18.0,3,3,,47.68626,-95.78601,"290,941","5,285,260",,,N,0.0,,,,"14,904,033",0.0,83.0,15.0,"66,086"
"16,529",Unnamed,,600576.0,0.0,,38.0,19,19,,47.5127,-95.82499,"287,395","5,265,832",,,N,0.0,,,,"14,704,136",1.0,83.0,15.0,"61,012"
"16,530",Unnamed,,600713.0,0.0,,19.0,8,8,,47.72504,-95.64875,"301,374","5,289,139",,,N,0.0,,,,"14,903,916",1.0,83.0,15.0,"66,086"
"16,531",Unnamed,,600733.0,0.0,,27.0,6,6,,47.65292,-95.73893,"294,329","5,281,359",,,N,0.0,,,,"14,804,010",0.0,83.0,15.0,"66,076"
"16,532",Unnamed,,600747.0,0.0,,12.0,5,5,,47.53084,-95.63913,"301,360","5,267,533",,,N,0.0,,,,"14,703,921",0.0,83.0,15.0,"66,002"
"16,533",Crook,,610004.0,0.0,,33.0,18,18,,45.415,-95.19972,"327,885","5,031,407",,,N,0.0,,,,"12,303,633",1.0,83.0,15.0,"26,027"
"16,534",Johnson,Kittelson,610010.0,0.0,,108.0,91,91,,45.45843,-95.24031,"324,844","5,036,319",,,N,0.0,,,,"12,303,619",3.0,83.0,15.0,"26,109"
"16,535",Sather,,610047.0,0.0,,29.0,94,94,,45.42497,-95.37149,"314,505","5,032,672",,,N,0.0,,,,"12,303,731",4.0,83.0,15.0,"26,030"
"16,536",Unnamed,,610061.0,0.0,,62.0,47,47,,45.59663,-95.29941,"320,663","5,051,803",,,N,0.0,,,,"12,503,735",2.0,83.0,15.0,"26,019"
"16,537",Camp,,610076.0,0.0,,77.0,48,48,,45.59943,-95.3851,"313,989","5,052,310",,,N,0.0,,,,"12,503,731",2.0,83.0,15.0,"26,020"
"16,538",Hanson,Woodpecker,610080.0,0.0,,601.0,188,188,,45.49049,-95.409,"311,761","5,040,263",,,N,0.0,,,,"12,303,802",4.0,83.0,15.0,"26,021"
"16,539",Unnamed,Coats,610090.0,0.0,,180.0,87,87,,45.44091,-95.397,"312,535","5,034,727",,,N,0.0,,,,"12,303,824",3.0,83.0,15.0,"26,023"
"16,540",Unnamed,,610091.0,0.0,,47.0,29,29,,45.42457,-95.47894,"306,071","5,033,106",,,N,0.0,,,,"12,303,831",1.0,83.0,15.0,"26,026"
"16,541",Steenerson,,610095.0,0.0,,200.0,283,283,,45.572,-95.42227,"310,998","5,049,350",,,N,0.0,,,,"12,403,810",6.0,83.0,15.0,"26,021"
"16,542",Helle,Stenson,610105.0,0.0,,81.0,92,92,,45.52035,-95.41502,"311,391","5,043,595",,,N,0.0,,,,"12,403,826",3.0,83.0,15.0,"26,021"
"16,543",Wallin,Wollan,610156.0,0.0,,149.0,131,131,,45.64767,-95.54018,"302,065","5,058,040",,,N,0.0,,,,"12,503,911",4.0,83.0,15.0,"26,009"
"16,544",Danielson Slough,Cyrus,610194.0,0.0,,142.0,57,57,,45.60494,-95.7435,"286,060","5,053,817",,,N,0.0,,,,"12,504,030",2.0,83.0,15.0,"26,004"
"16,545",Unnamed,,610390.0,0.0,,77.0,21,21,,45.70722,-95.60083,"297,699","5,064,771",,,N,0.0,,,,"12,603,920",1.0,83.0,15.0,"26,008"
"16,546",Unnamed,,610497.0,0.0,,30.0,23,23,,45.50911,-95.45815,"307,984","5,042,448",,,N,0.0,,,,"12,403,832",1.0,83.0,15.0,"26,021"
"16,547",Unnamed,,610511.0,0.0,,774.0,7,7,,45.59967,-95.55055,"301,195","5,052,777",,,N,0.0,,,,"12,503,926",1.0,83.0,15.0,"26,010"
"16,548",Birch,,620024.0,0.0,,145.0,113,113,,45.08227,-93.0413,"496,750","4,992,091",,,N,0.0,,,,"3,002,215",3.0,83.0,15.0,"20,079"
"16,549",Farrel's,,620184.0,0.0,,55.0,10,10,,45.05915,-93.18399,"485,413","4,989,521",,,N,0.0,,,,"3,002,328",1.0,83.0,15.0,"20,070"
"16,550",Unnamed,,620243.0,0.0,,25.0,17,17,,44.96817,-92.99206,"500,626","4,979,414",,,N,0.0,,,,"2,902,225",1.0,83.0,15.0,"20,084"
"16,551",Moran,,630001.0,0.0,,45.0,7,7,,47.87916,-96.43042,"243,429","5,308,627",,,N,0.0,,,,"15,104,521",1.0,83.0,15.0,"63,049"
"16,552",Willow,,640044.0,0.0,,162.0,39,39,,44.31831,-95.20392,"324,460","4,909,857",,,N,0.0,,,,"11,003,620",2.0,83.0,15.0,"29,060"
"16,553",Iverson,,640084.0,0.0,,55.0,26,26,,44.68474,-95.34952,"314,100","4,950,484",,,N,0.0,,,,"11,403,718",2.0,83.0,15.0,"25,079"
"16,554",Rohlik Slough,,640105.0,0.0,,171.0,39,39,,44.4616,-95.37884,"311,225","4,925,866",,,N,0.0,,,,"11,203,835",3.0,83.0,15.0,"27,030"
"16,556",Unnamed,,650128.0,0.0,,20.0,30,30,,44.74751,-95.30059,"317,883","4,957,478",,,N,0.0,,,,"11,503,721",1.0,83.0,15.0,"25,040"
"16,557",Twin,,660006.0,0.0,,25.0,16,16,,44.3261,-93.27974,"477,540","4,908,243",,,N,0.0,,,,"11,002,018",1.0,83.0,15.0,"39,082"
"16,561",Unnamed,,680014.0,0.0,,160.0,31,31,,48.9486,-96.36135,"253,909","5,427,189",,,N,0.0,,,,"16,304,416",1.0,83.0,15.0,"71,005"
"16,563",Unnamed,,680019.0,0.0,,150.0,40,40,,48.90536,-96.34892,"255,133","5,421,702",,,N,0.0,,,,"16,304,433",2.0,83.0,15.0,"71,009"
"16,564",Hank's,,680021.0,0.0,,50.0,6,6,,48.8115,-96.35389,"253,913","5,411,826",,,N,0.0,,,,"16,204,433",1.0,83.0,15.0,"70,043"
"16,565",Unnamed,,680070.0,0.0,,15.0,22,22,,48.60407,-95.36189,"325,887","5,386,137",,,N,0.0,,,,"15,903,712",1.0,83.0,15.0,"71,074"
"16,566",Unnamed,,680079.0,0.0,,80.0,41,41,,48.63244,-95.46425,"318,443","5,389,528",,,N,0.0,,,,"16,003,731",2.0,83.0,15.0,"71,073"
"16,567",Unnamed,,680137.0,0.0,,80.0,8,8,,48.75802,-95.45363,"319,579","5,403,444",,,N,0.0,,,,"16,103,717",1.0,83.0,15.0,"71,063"
"16,568",Sundial,,690105.0,0.0,,30.0,25,25,,48.15552,-91.92146,"580,211","5,334,148",,,N,0.0,,,,"6,601,231",1.0,83.0,15.0,"72,070"
"16,569",Jig,,690219.0,0.0,,34.0,25,25,,47.97071,-92.05066,"571,065","5,313,649",,,N,0.0,,,,"6,301,306",1.0,83.0,15.0,"72,088"
"16,570",Falls,,690377.0,0.0,,28.0,25,25,,47.73925,-92.17971,"561,451","5,287,770",,,N,0.0,,,,"6,101,430",1.0,83.0,15.0,"3,160"
